NO.;Tid;Intervall;Temperatur Inne(°C);Luftfuktighet Inne(%);Temperatur Ute(°C);Luftfuktighet Ute(%);Relativt Lufttryck(hpa);Absolut Lufttryck(hpa);Vindhastighet(km/h);Vindby(km/h);Vindriktning;Daggpunkt(°C);Vindavkylning(°C);Regnmängd Timme(mm);Regnmängd 24 Timmar(mm);Regnmängd Vecka(mm);Regnmängd Månad(mm);Regnmängd Total(mm)
1; 2019-01-24 20:16:33;15; 22.1;14; -5.6;71; 1023.0; 1011.3; 0.0; 1.1; E; -10.0; -5.6; 0.00; 0.00; 0.00; 0.00; 0.00
2; 2019-01-24 20:31:33;15; 22.1;15; -5.5;72; 1023.1; 1011.4; 0.0; 0.0; SE; -9.8; -5.5; 0.00; 0.00; 0.00; 0.00; 0.00
3; 2019-01-24 20:46:33;15; 22.1;14; -5.4;72; 1023.2; 1011.5; 0.0; 0.0; E; -9.7; -5.4; 0.00; 0.00; 0.00; 0.00; 0.00
4; 2019-01-24 21:01:33;15; 22.1;14; -4.8;72; 1023.1; 1011.4; 0.0; 0.0; SW; -9.1; -4.8; 0.00; 0.00; 0.00; 0.00; 0.00
5; 2019-01-24 21:16:33;15; 22.1;14; -4.4;73; 1023.3; 1011.6; 2.5; 2.5; N; -8.5; -4.4; 0.00; 0.00; 0.00; 0.00; 0.00
6; 2019-01-24 21:31:33;15; 22.1;14; -4.1;73; 1023.3; 1011.6; 1.1; 2.5; S; -8.2; -4.1; 0.00; 0.00; 0.00; 0.00; 0.00
7; 2019-01-24 21:46:33;15; 22.1;14; -3.9;73; 1023.1; 1011.4; 1.1; 2.5; NE; -8.0; -3.9; 0.00; 0.00; 0.00; 0.00; 0.00
8; 2019-01-24 22:01:33;15; 22.1;14; -3.7;73; 1023.1; 1011.4; 0.0; 0.0; E; -7.8; -3.7; 0.00; 0.00; 0.00; 0.00; 0.00
9; 2019-01-24 22:16:33;15; 22.1;14; -4.0;73; 1023.0; 1011.3; 1.1; 2.5; W; -8.1; -4.0; 0.00; 0.00; 0.00; 0.00; 0.00
10; 2019-01-24 22:31:33;15; 22.1;14; -3.3;73; 1023.1; 1011.4; 2.5; 3.6; E; -7.5; -3.3; 0.00; 0.00; 0.00; 0.00; 0.00
